N,M,Implementation,Time,Cycles,Instructions,IPC,branch_miss_pct,llc_miss_pct,Seq
200,128,No Check,1.241965991,4079569538,7619303849,1.87,0.51,11.76,23
200,128,Pallene,1.417835663,4660288656,16870658562,3.62,0.18,12.73,24
200,128,LuaJIT 2.1,1.279069780,4185776837,12101546995,2.89,0.17,4.53,24
200,128,No Check,1.337193387,4396932131,7619305825,1.73,0.51,17.13,24
200,128,Pallene,1.491293476,4901841924,16870656887,3.44,0.18,18.64,25
200,128,LuaJIT 2.1,1.276323675,4175411754,12102063516,2.90,0.17,2.79,25
200,128,No Check,1.303764426,4285376655,7619305748,1.78,0.51,15.79,25
200,128,Pallene,1.484653337,4878316387,16870655841,3.46,0.18,18.68,26
200,128,LuaJIT 2.1,1.275335571,4177674763,12101385426,2.90,0.17,1.64,26
200,128,No Check,1.421739509,4672292237,7619304154,1.63,0.51,21.38,26
200,128,Pallene,1.611083626,5298972912,16870656851,3.18,0.18,24.80,27
200,128,LuaJIT 2.1,1.277785962,4182114187,12102321369,2.89,0.17,2.80,27
200,128,No Check,1.188769349,3904383996,7619304893,1.95,0.51,7.65,27
200,128,Pallene,1.343240573,4413062424,16870656935,3.82,0.18,3.51,28
200,128,LuaJIT 2.1,1.274416383,4171557858,12101522704,2.90,0.17,1.42,28
200,128,No Check,1.205642763,3960908443,7619303667,1.92,0.51,9.29,28
200,128,Pallene,1.399741279,4601984527,16870656801,3.67,0.18,10.47,29
200,128,LuaJIT 2.1,1.272992334,4161709887,12099972993,2.91,0.17,1.36,29
200,128,No Check,1.261378176,4146698927,7619305101,1.84,0.51,11.14,29
200,128,Pallene,1.496889157,4918066050,16870657124,3.43,0.18,20.01,30
200,128,LuaJIT 2.1,1.277896468,4184360832,12101521499,2.89,0.17,3.08,30
200,128,No Check,1.397262252,4589200646,7619304762,1.66,0.51,21.11,30
200,128,Pallene,1.497700328,4921160796,16870657621,3.43,0.18,18.03,31
200,128,LuaJIT 2.1,1.275308026,4171756155,12099585525,2.90,0.17,3.92,31
200,128,No Check,1.288181861,4232721217,7619304405,1.80,0.51,14.90,31
200,128,Pallene,1.566439374,5147994890,16870658163,3.28,0.18,23.89,32
200,128,LuaJIT 2.1,1.272736745,4164104552,12102212187,2.91,0.17,1.71,32
200,128,No Check,1.262120388,4149130790,7619305970,1.84,0.51,11.44,32
200,128,Pallene,1.411343789,4640295420,16870656643,3.64,0.18,11.66,33
200,128,LuaJIT 2.1,1.271914294,4165032564,12101367958,2.91,0.17,0.90,33
200,128,No Check,1.242293438,4080375268,7619304279,1.87,0.51,12.00,33
200,128,Pallene,1.636005480,5375447577,16870656616,3.14,0.18,24.84,34
200,128,LuaJIT 2.1,1.273150609,4164839183,12101742219,2.91,0.17,1.22,34
200,128,No Check,1.183592612,3886628123,7619305067,1.96,0.51,7.06,34
200,128,Pallene,1.549016533,5094358261,16870657187,3.31,0.18,21.09,35
200,128,LuaJIT 2.1,1.276827754,4180221440,12100322136,2.89,0.17,2.43,35
200,128,No Check,1.374550621,4520026709,7619304708,1.69,0.51,20.00,35
